"TITLE","URL"
"Προφεστιβαλική - ΜΑΘΗΤΩΝ - Αρχαιολογικός Χώρος Τυλίσου","https://server42.pdekritis.gr/certbot/prepare_my_certificate/DjeADHGvy1FHWEyxPDUryQQxArbjg56Pal8-NPB8XJOA"
"Προφεστιβαλική - ΕΚΠ_ΚΩΝ - Αρχαιολογικός Χώρος Τυλίσου","https://server42.pdekritis.gr/certbot/prepare_my_certificate/L2kO-beEvj5p1QpTJonjNgL2ImmV7VWkruD4P5B7Rg2g"
